"","subject","block","trial","card_left","card_right","ch_card","ch_key","reward","prob1","prob2","prob3","prob4","rt","reward_oneback","unch_card","reoffer_ch","reoffer_unch","stay_key","stay_card","stay_unch_card","prob_ch","prob_unch","accuracy","delta_exp_value","prob_left","prob_right","better_loc","prev_loc_better","bonus","number_inattention","instructions_mistakes","exclude_trial_omission","exclude_key_rep","exclude_inattention"
"49",1,"1","49",2,4,2,"0","1",0.446989894,0.59332484,0.179692284,0.337784885,359,"0",4,TRUE,FALSE,FALSE,FALSE,FALSE,0.59332484,0.337784885,1,0.255539955,0.59332484,0.337784885,0,0,0.0025,0,0,FALSE,FALSE,FALSE
"50",1,"1","50",1,2,2,"1","0",0.450821354,0.584050675,0.15,0.36036193,347,"1",1,TRUE,FALSE,FALSE,TRUE,FALSE,0.584050675,0.450821354,1,0.133229321,0.450821354,0.584050675,1,0,0,0,0,FALSE,FALSE,FALSE
"51",1,"2","1",3,2,3,"0","1",0.157020842,0.619709433,0.455624574,0.57748884,864,"0",2,TRUE,FALSE,FALSE,FALSE,FALSE,0.455624574,0.619709433,0,0.164084859,0.455624574,0.619709433,1,1,0.0025,0,0,FALSE,FALSE,FALSE
"52",1,"2","2",1,4,1,"0","0",0.15,0.638847416,0.447060403,0.547476684,1040,"1",4,FALSE,FALSE,TRUE,FALSE,FALSE,0.15,0.547476684,0,0.397476684,0.15,0.547476684,1,0,0,0,0,FALSE,FALSE,FALSE
"53",1,"2","3",1,4,4,"1","0",0.15,0.673558252,0.464653849,0.564055839,818,"0",1,TRUE,TRUE,FALSE,FALSE,TRUE,0.564055839,0.15,1,0.414055839,0.15,0.564055839,1,0,0,0,0,FALSE,FALSE,FALSE
"54",1,"2","4",3,2,3,"0","0",0.156040006,0.650024264,0.468050463,0.533591457,804,"0",2,FALSE,FALSE,FALSE,FALSE,FALSE,0.468050463,0.650024264,0,0.181973801,0.468050463,0.650024264,1,1,0,0,0,FALSE,FALSE,FALSE
"55",1,"2","5",4,3,4,"0","1",0.15,0.609580707,0.479689254,0.548975462,1194,"0",3,TRUE,FALSE,TRUE,FALSE,FALSE,0.548975462,0.479689254,1,0.069286208,0.548975462,0.479689254,0,1,0.0025,0,0,FALSE,FALSE,FALSE
"56",1,"2","6",4,3,4,"0","0",0.15,0.643928684,0.489298433,0.530164744,541,"1",3,TRUE,TRUE,TRUE,TRUE,FALSE,0.530164744,0.489298433,1,0.040866311,0.530164744,0.489298433,0,1,0,0,0,FALSE,FALSE,FALSE
"57",1,"2","7",3,4,4,"1","1",0.15,0.632410914,0.49896292,0.449644452,477,"0",3,TRUE,TRUE,FALSE,TRUE,FALSE,0.449644452,0.49896292,0,0.049318468,0.49896292,0.449644452,0,1,0.0025,0,0,FALSE,FALSE,FALSE
"58",1,"2","8",1,4,4,"1","1",0.15,0.660272086,0.503229792,0.400668363,417,"1",1,TRUE,FALSE,TRUE,TRUE,FALSE,0.400668363,0.15,1,0.250668363,0.15,0.400668363,1,1,0.0025,0,0,FALSE,FALSE,FALSE
